loggingTime;loggingSample;locationHeadingTimestamp_since1970;locationHeadingX;locationHeadingY;locationHeadingZ;locationTrueHeading;locationMagneticHeading;locationHeadingAccuracy
2022-05-24 11:18:35.481;1;1653383915.42951;-10.66876125335693;2.161619663238525;-37.31832122802734;-1;79.71094512939453;10
2022-05-24 11:18:35.498;2;1653383915.480763;-10.5019474029541;2.060352563858032;-37.21918869018555;-1;79.73902893066406;10
2022-05-24 11:18:35.557;3;1653383915.532552;-10.00150203704834;2.026593685150146;-36.78960418701172;-1;79.78536224365234;10
2022-05-24 11:18:35.589;4;1653383915.585447;-9.834689140319824;1.655287265777588;-36.69047164916992;-1;79.85688018798828;10
2022-05-24 11:18:35.656;5;1653383915.636537;-10.16831874847412;2.195372343063354;-36.88874053955078;-1;79.88195037841797;10
2022-05-24 11:18:35.686;6;1653383915.636537;-10.16831874847412;2.195372343063354;-36.88874053955078;-1;79.88195037841797;10
2022-05-24 11:18:35.755;7;1653383915.741415;-10.36849594116211;1.722795486450195;-37.15309524536133;-1;79.98678588867188;10
2022-05-24 11:18:35.783;8;1653383915.741415;-10.36849594116211;1.722795486450195;-37.15309524536133;-1;79.98678588867188;10
2022-05-24 11:18:35.856;9;1653383915.794011;-10.2350435256958;1.857815265655518;-37.81399536132812;-1;80.04640197753906;10
2022-05-24 11:18:35.879;10;1653383915.844808;-10.36849594116211;1.925326585769653;-37.35136795043945;-1;80.09384918212891;10
2022-05-24 11:18:35.920;11;1653383915.897665;-10.40186214447021;1.959085464477539;-37.1861457824707;-1;80.13684844970703;10
2022-05-24 11:18:35.976;12;1653383915.949189;-10.40186214447021;2.026593685150146;-37.0539665222168;-1;80.16834259033203;10
2022-05-24 11:18:36.056;13;1653383916.001911;-10.93566513061523;2.094105243682861;-37.45050048828125;-1;80.20751190185547;10
2022-05-24 11:18:36.073;14;1653383916.053442;-10.83557415008545;2.12785816192627;-37.54963684082031;-1;80.23794555664062;10
2022-05-24 11:18:36.155;15;1653383916.105556;-10.43521976470947;2.397900581359863;-37.61572647094727;-1;80.24049377441406;10
2022-05-24 11:18:36.169;16;1653383916.158427;-10.56867218017578;2.6004319190979;-37.48354721069336;-1;80.21334838867188;10
2022-05-24 11:18:36.220;17;1653383916.209271;-10.26840686798096;2.296636581420898;-37.91313171386719;-1;80.21212005615234;10
2022-05-24 11:18:36.266;18;1653383916.209271;-10.26840686798096;2.296636581420898;-37.91313171386719;-1;80.21212005615234;10
2022-05-24 11:18:36.304;19;1653383916.262088;-10.23504638671875;2.532923460006714;-38.01226425170898;-1;80.18761444091797;10
2022-05-24 11:18:36.363;20;1653383916.313869;-9.968141555786133;2.532923460006714;-37.94617080688477;-1;80.17221069335938;10
2022-05-24 11:18:36.401;21;1653383916.366301;-9.934781074523926;2.229122161865234;-38.04530715942383;-1;80.18334197998047;10
2022-05-24 11:18:36.459;22;1653383916.417774;-10.46858692169189;2.296636581420898;-37.64877319335938;-1;80.19443511962891;10
2022-05-24 11:18:36.497;23;1653383916.470981;-9.934781074523926;2.499171018600464;-37.58268356323242;-1;80.20846557617188;10
2022-05-24 11:18:36.557;24;1653383916.522246;-10.10159397125244;2.060349464416504;-37.41745758056641;-1;80.24048614501953;10
2022-05-24 11:18:36.594;25;1653383916.575026;-9.968144416809082;2.667946338653564;-37.88008117675781;-1;80.23101043701172;10
2022-05-24 11:18:36.654;26;1653383916.626753;-10.53531169891357;2.5666823387146;-37.25223159790039;-1;80.21780395507812;10
2022-05-24 11:18:36.691;27;1653383916.679523;-10.86893844604492;2.769216537475586;-37.25223159790039;-1;80.19599914550781;10
2022-05-24 11:18:36.755;28;1653383916.730727;-10.53530883789062;2.70170521736145;-36.85569763183594;-1;80.17832946777344;10
2022-05-24 11:18:36.787;29;1653383916.730727;-10.53530883789062;2.70170521736145;-36.85569763183594;-1;80.17832946777344;10
2022-05-24 11:18:36.857;30;1653383916.834963;-9.767964363098145;2.532923460006714;-37.88008880615234;-1;80.10562133789062;10
2022-05-24 11:18:36.884;31;1653383916.834963;-9.767964363098145;2.532923460006714;-37.88008880615234;-1;80.10562133789062;10
2022-05-24 11:18:36.955;32;1653383916.938573;-10.5019474029541;2.397903680801392;-37.08700561523438;-1;80.08979797363281;10
2022-05-24 11:18:36.980;33;1653383916.938573;-10.5019474029541;2.397903680801392;-37.08700561523438;-1;80.08979797363281;10
2022-05-24 11:18:37.057;34;1653383917.042496;-10.93566513061523;2.769210338592529;-36.72351455688477;-1;80.01354217529297;10
2022-05-24 11:18:37.077;35;1653383917.042496;-10.93566513061523;2.769210338592529;-36.72351455688477;-1;80.01354217529297;10
2022-05-24 11:18:37.154;36;1653383917.095633;-11.03575420379639;2.735454797744751;-36.75656127929688;-1;79.99459075927734;10
2022-05-24 11:18:37.174;37;1653383917.146842;-11.23593139648438;2.127861022949219;-36.88874435424805;-1;80.0284423828125;10
2022-05-24 11:18:37.255;38;1653383917.199682;-11.13584232330322;2.499171018600464;-36.92179107666016;-1;80.04000091552734;10
2022-05-24 11:18:37.270;39;1653383917.250481;-10.43522262573242;2.330395221710205;-37.2852783203125;-1;80.05390930175781;10
2022-05-24 11:18:37.355;40;1653383917.3035;-10.5019474029541;2.060349464416504;-37.35136413574219;-1;80.08798217773438;10
2022-05-24 11:18:37.366;41;1653383917.354237;-10.53530883789062;2.026593685150146;-37.18614196777344;-1;80.11701202392578;10
2022-05-24 11:18:37.455;42;1653383917.407093;-10.6020336151123;2.364148139953613;-37.05396270751953;-1;80.14757537841797;10
