loggingTime;loggingSample;locationHeadingTimestamp_since1970;locationHeadingX;locationHeadingY;locationHeadingZ;locationTrueHeading;locationMagneticHeading;locationHeadingAccuracy
2022-05-16 09:51:58.988;1;1652687518.922643;-37.92520523071289;2.285910606384277;-87.70619201660156;-1;91.76365661621094;25
2022-05-16 09:51:59.010;2;1652687518.974779;-37.85826873779297;2.219913005828857;-88.21807098388672;-1;91.76313018798828;25
2022-05-16 09:51:59.046;3;1652687518.974779;-37.85826873779297;2.219913005828857;-88.21807098388672;-1;91.76313018798828;25
2022-05-16 09:51:59.047;4;1652687519.026835;-37.59050750732422;1.955914497375488;-87.77018737792969;-1;91.77423858642578;25
2022-05-16 09:51:59.081;5;1652687519.026835;-37.59050750732422;1.955914497375488;-87.77018737792969;-1;91.77423858642578;25
2022-05-16 09:51:59.140;6;1652687519.131996;-37.3562126159668;2.120915412902832;-87.48225402832031;-1;91.79468536376953;25
2022-05-16 09:51:59.178;7;1652687519.131996;-37.3562126159668;2.120915412902832;-87.48225402832031;-1;91.79468536376953;25
2022-05-16 09:51:59.236;8;1652687519.183915;-37.72438430786133;1.625915288925171;-87.70619964599609;-1;91.80851745605469;25
2022-05-16 09:51:59.274;9;1652687519.236645;-37.62397384643555;1.922914266586304;-88.18608093261719;-1;91.82205963134766;25
2022-05-16 09:51:59.334;10;1652687519.287676;-37.82479476928711;2.186912775039673;-88.56997680664062;-1;91.82898712158203;25
2022-05-16 09:51:59.370;11;1652687519.340479;-37.72438049316406;2.351911067962646;-88.47400665283203;-1;91.82622528076172;25
2022-05-16 09:51:59.433;12;1652687519.391856;-37.49008941650391;2.186910152435303;-88.05811309814453;-1;91.82815551757812;25
2022-05-16 09:51:59.468;13;1652687519.445418;-37.18885803222656;1.82391357421875;-88.09010314941406;-1;91.84042358398438;25
2022-05-16 09:51:59.533;14;1652687519.496145;-37.99214172363281;1.757916212081909;-87.96213531494141;-1;91.85205841064453;25
2022-05-16 09:51:59.564;15;1652687519.549325;-38.25990676879883;2.087918281555176;-87.89814758300781;-1;91.85964965820312;25
2022-05-16 09:51:59.632;16;1652687519.60141;-38.39379119873047;2.747910737991333;-87.57823181152344;-1;91.85013580322266;25
2022-05-16 09:51:59.661;17;1652687519.653573;-37.79132080078125;3.011909246444702;-87.96213531494141;-1;91.82807922363281;25
2022-05-16 09:51:59.731;18;1652687519.705175;-38.12602615356445;2.879911422729492;-87.83416748046875;-1;91.81096649169922;25
2022-05-16 09:51:59.758;19;1652687519.705175;-38.12602615356445;2.879911422729492;-87.83416748046875;-1;91.81096649169922;25
2022-05-16 09:51:59.832;20;1652687519.809413;-38.39379119873047;2.483914852142334;-88.28205871582031;-1;91.79421997070312;25
2022-05-16 09:51:59.854;21;1652687519.809413;-38.39379119873047;2.483914852142334;-88.28205871582031;-1;91.79421997070312;25
2022-05-16 09:51:59.933;22;1652687519.913946;-37.75785827636719;2.648913145065308;-88.37802886962891;-1;91.79183959960938;25
2022-05-16 09:51:59.951;23;1652687519.913946;-37.75785827636719;2.648913145065308;-88.37802886962891;-1;91.79183959960938;25
2022-05-16 09:52:00.045;24;1652687520.018686;-38.32685089111328;2.681913137435913;-88.15408325195312;-1;91.77347564697266;25
2022-05-16 09:52:00.048;25;1652687520.018686;-38.32685089111328;2.681913137435913;-88.15408325195312;-1;91.77347564697266;25
2022-05-16 09:52:00.138;26;1652687520.09409;-37.89173889160156;2.384911298751831;-87.09835052490234;-1;91.77159881591797;25
2022-05-16 09:52:00.145;27;1652687520.09409;-37.89173889160156;2.384911298751831;-87.09835052490234;-1;91.77159881591797;25
2022-05-16 09:52:00.232;28;1652687520.200442;-37.72438049316406;2.615912914276123;-86.74643707275391;-1;91.76654815673828;25
2022-05-16 09:52:00.242;29;1652687520.200442;-37.72438049316406;2.615912914276123;-86.74643707275391;-1;91.76654815673828;25
2022-05-16 09:52:00.332;30;1652687520.303365;-37.95867919921875;2.4509117603302;-87.35428619384766;-1;91.75352478027344;25
2022-05-16 09:52:00.338;31;1652687520.303365;-37.95867919921875;2.4509117603302;-87.35428619384766;-1;91.75352478027344;25
2022-05-16 09:52:00.432;32;1652687520.407454;-38.86237335205078;2.813914060592651;-86.61846923828125;-1;91.73098754882812;25
2022-05-16 09:52:00.434;33;1652687520.407454;-38.86237335205078;2.813914060592651;-86.61846923828125;-1;91.73098754882812;25
2022-05-16 09:52:00.533;34;1652687520.511126;-38.15950012207031;2.516912221908569;-86.45851135253906;-1;91.71864318847656;25
2022-05-16 09:52:00.534;35;1652687520.511126;-38.15950012207031;2.516912221908569;-86.45851135253906;-1;91.71864318847656;25
2022-05-16 09:52:00.599;36;1652687520.564477;-37.85826873779297;2.681910276412964;-86.49050140380859;-1;91.70884704589844;25
2022-05-16 09:52:00.635;37;1652687520.615813;-38.02561950683594;2.648910045623779;-86.39452362060547;-1;91.70121765136719;25
2022-05-16 09:52:00.699;38;1652687520.66863;-38.36031723022461;2.252910614013672;-85.94664001464844;-1;91.70413208007812;25
2022-05-16 09:52:00.733;39;1652687520.720331;-38.89584350585938;2.516909122467041;-85.43476104736328;-1;91.70146942138672;25
2022-05-16 09:52:00.782;40;1652687520.773077;-38.59461212158203;2.549909353256226;-84.89089965820312;-1;91.69737243652344;25
